,Status,Beds,Baths,SQFT,Acres,Price,Address,City
303,For Sale,4,"3,406","5,663",,"$450,000","1577 S High St Unit 77-79, ","Columbus, OH 43207"
304,Coming Soon,3,1.5,"1,248","6,098","$394,500","5927 McIntyre Dr, ","Dublin, OH 43016"
305,For Sale,4,2.5,"2,336",,"$537,400","6567 Bowery Peak Ln, ","Westerville, OH 43081"
306,For Sale,4,2.5,"2,234",0.34,"$460,000","3830 Saddlebrook Ct, ","Columbus, OH 43221"
307,Contingent,3,2.5,"1,825",871,"$254,000","7987 Worthington Lake Dr, ","Westerville, OH 43081"
308,Contingent,3,2.5,"2,380","6,534","$399,900","6302 New Albany Rd W, ","New Albany, OH 43054"
309,For Sale,Studio,,,,"$929,900","3352 Courtyard Lndg, ","Dublin, OH 43017"
310,For Sale,4,2,"1,771",,Contact For Price,"Claiborne Plan, Lampton Village Community","COLUMBUS, OH"
311,Contingent,3,2.5,"1,536","4,356","$260,000","3836 Greenwich Ln, ","Grove City, OH 43123"
312,For Sale,3,2.5,"2,155",,Contact For Price,"Pennington Plan, Allmon Run Community","Grove City, OH"
313,For Sale,2,2.5,"2,142","1,307","$299,900","3522 LA Rochelle Dr, ","Columbus, OH 43221"
314,For Sale,2,1,"1,056","9,148","$340,000","59 E Kanawha Ave, ","Columbus, OH 43214"
315,For Sale,3,2.5,"2,454",,,"Evanston Plan, Hoover Farms Community","Westerville, OH"
316,For Sale,3,2,"1,483",3.63,"$319,900","3533 Watkins Rd, ","Columbus, OH 43232"
317,For Sale,3,2.5,"1,818",,Contact For Price,"Sierra Plan, Allmon Run Community","Grove City, OH"
318,For Sale,3,2,"1,108","5,663","$339,900","8452 Olenbrook Dr, ","Lewis Center, OH 43035"
319,For Sale,2,2,980,871,"$192,000","2707 Proclamation Way, ","Columbus, OH 43207"
320,For Sale,3,3,"2,364","2,178","$459,900","6035 Limewood Dr, ","Westerville, OH 43081"
321,For Sale,3,2.5,"1,700",871,"$349,900","4351 Latin Ln Unit 115, ","Upper Arlington, OH 43220"
322,For Sale,4,2.5,"2,053",,Contact For Price,"Bellamy Plan, Renner Park Community","COLUMBUS, OH"
323,For Sale,4,2.5,"2,356",,Contact For Price,"Holland Plan, Allmon Run Community","Grove City, OH"
324,Contingent,3,2.5,"1,734","8,712","$392,000","8747 Olenbrook Dr, ","Lewis Center, OH 43035"
325,For Sale,4,2,"1,771",,Contact For Price,"Claiborne Plan, Allmon Run Community","Grove City, OH"
326,For Sale,3,1,896,"6,534","$159,900","844 Harwood Dr, ","Columbus, OH 43228"
327,Contingent,4,2.5,"2,808",0.3,"$455,000","7971 Stonehurst Dr, ","Dublin, OH 43016"
328,For Sale,6,3.5+,"4,085","9,583","$999,900","2671 Bryden Rd, ","Columbus, OH 43209"
329,Contingent,6,"1,934",0.24,,"$339,900","5942-5944 Saranac Dr, ","Columbus, OH 43232"
330,For Sale,4,2.5,"2,546",,"$628,780","6433 Rockhold Dr, ","Westerville, OH 43081"
331,Pending,4,2,"1,771",,"$364,900","3744 Miltonsburg Dr, ","Columbus, OH 43123"
332,Contingent,3,2.5,"1,792","7,405","$324,900","1048 Discovery Dr, ","Worthington, OH 43085"
333,Contingent,3,2,"1,314","7,841","$229,900","161 Topsfield Rd, ","Columbus, OH 43228"
334,Contingent,4,2.5+,"3,405",0.25,"$1,325,000","2040 Tremont Rd, ","Upper Arlington, OH 43221"
335,Contingent,5,3,"3,620",0.57,"$499,000","840 Strawberry Hill Rd E, ","Columbus, OH 43213"
336,Contingent,2,1.5,"1,340",436,"$159,900","5742 Great Hall Ct, ","Columbus, OH 43231"
337,Contingent,3,2.5,"2,324","7,841","$300,000","265 Sherborne Dr, ","Columbus, OH 43219"
338,Contingent,3,2,"1,182","6,098","$290,000","987 Schauer Dr, ","Galloway, OH 43119"
339,For Sale,3,1,"1,405","8,276","$125,000","1986 Sharbot Dr, ","Columbus, OH 43229"
340,Contingent,3,3,"1,696","1,742","$329,000","5375 Branscom Blvd, ","Westerville, OH 43081"
